Game Date DH Vis  Hom  Lg Inn By  Occ Batter            Scoring                          Play                 Note   Players
"06/30/1887   CN2  CL3  AA  9  CL3 123 Pop Corkhill       1X2(64)43(B)2X3(35)/GTP      6-4*-3*-5*            Ed McKean ss,Cub Stricker 2b,Jim Toy 1b,Phil Reccius 3b"
"07/05/1887   BR3  DTN  NL  8  DTN -23 Joe Hornung        6(B)65(3)54(2)/LTP           6*-5*-4*              Jack Rowe ss,Billy Shindle 3b,Hardy Richardson 2b"
"07/09/1887   NY4  CN2  AA  7  NY4 12- Kid Baldwin        4(B)4(2)43(1)/LTP            4*-4*-3*              Paul Radford 2b,Dave Orr 1b"
"08/04/1887   PHI  CHN  NL  4  CHN 12- Deacon McGuire     46(1)2X3(65)BX2(54)/GTP      4-6*-5*-4*            Fred Pfeffer 2b,Ned Williamson ss,Tom Burns 3b,Fred Pfeffer 2b"
"10/21/1887   SL4 DTN AA/NL 3  SL4 123 Sam Thompson       6(B)5(3)4(2)/LTP             6*-5*-4*         [5]  Bill Gleason ss,Arlie Latham 3b,Yank Robinson 2b"
"04/24/1888   CN2  SL4  AA  2  SL4 12- Hick Carpenter     2X3(5)53(B)1X3(36)/GTP       5*-3*-6*              Arlie Latham 3b,Charlie Comiskey 1b,Yank Robinson ss"
"06/23/1888   PIT  CHN  NL  8  CHN 12- Bill Kuehne        4(B)46(2)63(1)/LTP           4*-6*-3*              Fred Pfeffer 2b,Ned Williamson ss,Cap Anson 1b"
"07/07/1888   BL3  KC2  AA  9  KC2 -23 Billy Shindle      63(B)3XH(32)2X3(25)/GTP      6-3*-2*-5*            Frank Hankinson ss,Bill Phillips 1b,Jim Donahue c,Jumbo Davis 3b"
"07/11/1888   BSN  PIT  NL  4  BSN 12- Jocko Fields       4(B)43(1)36(2)/LTP           4*-3*-6*              Billy Nash 2b,John Morrill 1b,Irv Ray ss"
"09/28/1888   CHN  BSN  NL  7  BSN 12- Ad Gumbert         1X2(64)43(B)2XH(32)/GTP      6-4*-3*-2*            Irv Ray ss,Joe Quinn 2b,John Morrill 1b,King Kelly c"
"06/10/1889 2 IN3  CHN  NL  6  IN3 1-3 Fred Pfeffer       3XH(12)23(B)1XH(32)/GTP      1-2*-3*-2*            Charlie Getzien p,Dick Buckley c,Paul Hines 1b,Dick Buckley c"
"06/20/1889   WS8  IN3  NL  8  WS8 123 Paul Hines         E6+2X3(65)3XH(52)1X3(24)/LTP 6-5*-2*-4*       [3]  Arthur Irwin ss,Pete Sweeney 3b,Connie Mack c,Al Myers 2b"
"06/23/1889   KC2  CN2  AA  4  KC2 123 Ollie Beard        3XH(12)23(B)2XH(32)/GTP      1-2*-3*-2*            Tom Sullivan p,Joe Gunson c,Ecky Stearns 1b,Joe Gunson c"
"06/24/1889   NY1  CHN  NL  2  CHN 12- Gil Hatfield       E6+65(2)54(1)BX2(41)/FTP     6-5*-4*-1*       [3]  Charlie Bastian ss,Tom Burns 3b,Fred Pfeffer 2b,Ad Gumbert p"
"08/05/1889   CN2  BL2  AA  2  CN2 12- Frank Foreman      3(B)3(1)34(2)/LTP            3*-3*-4*              John Reilly 1b,Bid McPhee 2b"
"04/26/1890   NY1  BSN  NL  4  BSN -23 Artie Clarke       63(B)3XH(32)2XH(2)/GTP       6-3*-2*-2*            Herman Long ss,Tommy Tucker 1b,Charlie Ganzel c"
"04/30/1890   BR4  RC2  AA  3  RC2 123 John Peltz         H+3XH(65)2X3(54)1X2(43)/PTP  6-5*-4*-3*            Marr Phillips ss,Jimmy Knowles 3b,Bill Greenwood 2b,Tom O'Brien 1b"
"05/07/1890   RC2  SR2  AA  4  RC2 -23 Mox McQuery        7(B)76(2)3XH(63)/LTP         7*-6*-2*              Harry Lyons lf,Bill Greenwood 2b,Deacon McGuire c"
"05/21/1890   CN2  BRO  NL  3  BRO 12- Ollie Beard        1X2(46)63(B)2XH(32)/GTP      4-6*-3*-2*            Hub Collins 2b,Germany Smith ss,Dave Foutz 1b,Tom Daly c"
"05/29/1890   CHN  BRO  NL  5  BRO 1-3 Malachi Kittridge  64(1)43(B)3XH(32)/GTP        6-4*-3*-2*            Germany Smith ss,Hub Collins 2b,Dave Foutz 1b,Tom Daly c"
"06/15/1890   RC2  SR2  AA  7  RC2 12- Cupid Childs                                    4*-6*-3*              Tom O'Brien 2b,Bill Greenwood ss,Deacon McGuire 1b"
"06/30/1890   BSP  PTP  PL  9  BSP 12- Ned Hanlon         4(B)46(2)63(1)/FTP           4*-6*-3*              Joe Quinn 2b,King Kelly ss,Dan Brouthers 1b"
