Game Date DH Vis  Hom  Lg Inn By  Occ Batter            Scoring                          Play                 Note   Players
"04/26/1947   PIT  CIN  NL  2  PIT 12- Bob Usher          6(2)4(1)3/GTP                         6*-4*-3*                Billy Cox ss,Eddie Basinski 2b,Hank Greenberg 1b"
"04/27/1947 2 CHA  SLA  AL  2  CHA 1-3 Johnny Berardino   FC5/TP.3XH(52526);1X3(64);BX2(43436)  5-2-5-2-6*-4*-3-4-3-6*  Floyd Baker 3b,George Dickey c,Jack Wallaesa ss,Cass Michaels 2b,Jake Jones 1b"
"08/08/1947   CIN  CHN  NL  7  CHN 12- Babe Young         6(B)6(2)3(1)/LTP                      6*-6*-3*                Lennie Merullo ss,Eddie Waitkus 1b"
"08/23/1947   SLN  PHI  NL  8  SLN 12- Charlie Gilbert    2(B)6(2)3(1)/BP/TP                    2*-6*-3*                Del Rice c,Marty Marion ss,Stan Musial 1b"
"09/01/1947 2 CIN  CHN  NL  4  CHN -23 Ray Mueller        6(B)6(2)5(3)/LTP                      6*-6*-5*                Bobby Sturgeon ss,Peanuts Lowrey 3b"
"05/08/1948   CHA  PHA  AL  7  PHA 12- Taffy Wright       4(B)6(2)3(1)/LTP                      4*-6*-3*                Pete Suder 2b,Eddie Joost ss,Ferris Fain 1b"
"05/10/1948   CLE  BOS  AL  8  CLE 12- Billy Goodman      6(B)4(2)3(1)/LTP                      6*-4*-3*                Lou Boudreau ss,Joe Gordon 2b,Eddie Robinson 1b"
"06/02/1948   BSN  PIT  NL  8  PIT 12- Alvin Dark         3(B)/TP.1X2(3);2X3(36)                3*-3*-6*                Ed Stevens 1b,Stan Rojek ss"
"07/18/1948 1 SLA  BOS  AL  5  SLA 12- Vern Stephens      6(B)4(2)3(1)/LTP                      6*-4*-3*                Eddie Pellagrini ss,Jerry Priddy 2b,Chuck Stevens 1b"
"07/23/1948   PHI  CIN  NL  4  PHI 12- Virgil Stallcup    5(2)4(1)3/GTP                         5*-4*-3*                Putsy Caballero 3b,Granny Hamner 2b,Dick Sisler 1b"
"07/24/1948   SLA  WS1  AL  1  SLA 123 Tom McBride        16(1)5(2)3(B)/GTP                     1-6*-5*-3*              Bill Kennedy p,Eddie Pellagrini ss,Bob Dillinger 3b,Chuck Stevens 1b"
"09/07/1948   SLN  PIT  NL  1  PIT 12- Stan Musial        6(B)6(2)3(1)/LTP                      6*-6*-3*                Stan Rojek ss,Johnny Hopp 1b"
"04/26/1949   BSN  BRO  NL  3  BRO 12- Alvin Dark         7(B)4(2)3(1)/TP                       7*-4*-3*                Gene Hermanski lf,Jackie Robinson 2b,Gil Hodges 1b"
"06/14/1949   BRO  SLN  NL  1  SLN 12- Gil Hodges         6(B)4(2)3(1)/LTP                      6*-4*-3*                Marty Marion ss,Red Schoendienst 2b,Nippy Jones 1b"
"06/23/1949   PHI  PIT  NL  3  PHI 12- Ed Stevens         4(B)6(2)3(1)/TP                       4*-6*-3*                Eddie Miller 2b,Granny Hamner ss,Dick Sisler 1b"
"07/02/1949   PIT  CHN  NL  3  PIT 123 Andy Pafko         5(3)5(2)23(B)/GTP                     5*-5*-2-3*              Pete Castiglione 3b,Phil Masi c,Johnny Hopp 1b"
"08/27/1949 1 SLN  NY1  NL  3  SLN 12- Bobby Thomson      6(B)6(2)3(1)/L/TP                     6*-6*-3*                Red Schoendienst ss,Nippy Jones 1b"
"09/25/1949 1 BSN  NY1  NL  1  BSN 12- Bobby Thomson      5(B)4(2)3(1)/LTP                      5*-4*-3*                Bob Elliott 3b,Connie Ryan 2b,Elbie Fletcher 1b"
"10/01/1949   CLE  DET  AL  1  DET 12- Joe Gordon         5(2)4(1)3(B)/GTP                      5*-4*-3*                George Kell 3b,Neil Berry 2b,Don Kolloway 1b"
"04/28/1950   NYA  WS1  AL  2  WS1 1-3 Jerry Coleman     9(B)3(1)2(3)/TP                     9*-3*-2*              Bud Stewart rf,Eddie Robinson 1b,Mickey Grasso c"
"05/21/1950 1 SLN  PHI  NL  1  SLN 12- Eddie Waitkus     K+CS3(256)/TP/C.1X2(63)             2*-5-6*-3*            Joe Garagiola c,Tommy Glaviano 3b,Marty Marion ss,Stan Musial 1b"
"06/22/1950   PIT  PHI  NL  7  PHI 1-3 Gus Bell          FC1/TP.1X2(16);BX1(63);3XH(32)      1-6*-3*-2*            Bob Miller p,Granny Hamner ss,Eddie Waitkus 1b,Andy Seminick c"
"08/15/1950   DET  CLE  AL  5  CLE 12- George Kell       9(B)6(2)3(1)/TP/L                   9*-6*-3*              Bob Kennedy rf,Ray Boone ss,Luke Easter 1b"
"08/17/1950   SLA  CLE  AL  2  SLA 123 Dale Mitchell     5(B)5(3)4(2)/TP                     5*-5*-4*              Owen Friend 3b,Snuffy Stirnweiss 2b"
"05/13/1951 1 CLE  CHA  AL  9  CHA 12- Jim Hegan         1(B)6(2)3(1)/TP                     1*-6*-3*              Marv Rotblatt p,Chico Carrasquel ss,Eddie Robinson 1b"
"08/14/1951   BOS  PHA  AL  8  BOS 123 Hank Majeski      4(B)4(2)3(1)/LTP                    4*-4*-3*              Billy Goodman 2b,Walt Dropo 1b"
"09/01/1951   BRO  NY1  NL  5  NY1 12- Pee Wee Reese     6(B)4(2)4(1)/LTP                    6*-4*-4*              Al Dark ss,Eddie Stanky 2b"
"09/11/1951   DET  BOS  AL  7  DET 12- Walt Dropo        6(B)4(2)3(1)/LTP                    6*-4*-3*              Johnny Lipon ss,Jerry Priddy 2b,Don Kolloway 1b"
"06/24/1952   PIT  BSN  NL  3  PIT 12- Earl Torgeson     6(B)6(2)3(1)/LTP                    6*-6*-3*              Dick Groat ss,Catfish Metkovich 1b"
"06/27/1952   CHN  CIN  NL  6  CIN 12- Bruce Edwards     6/TP.2X2(6);1X1(63)#                6*-6*-3*              Roy McMillan ss,Joe Adcock 1b"
"08/22/1952   CLE  NYA  AL  5  CLE 12- Hank Bauer        4(B)4(2)3(1)/LTP                    4*-4*-3*              Bobby Avila 2b,Luke Easter 1b"
"05/22/1953   NYA  WS1  AL  9  WS1 12- Irv Noren         1(B)3(1)6(2)/LTP                    1*-3*-6*              Bob Porterfield p,Mickey Vernon 1b,Pete Runnels ss"
"07/17/1953   NYA  SLA  AL  2  NYA 12- Clint Courtney    8(B)/TP.2X3(86);1X2(63)             8*-6*-3*              Irv Noren cf,Phil Rizzuto ss,Don Bollweg 1b"
"08/29/1953   BOS  CHA  AL  9  CHA 12- Karl Olson        3(B)3(1)6(2)/LTP                    3*-3*-6*              Ferris Fain 1b,Chico Carrasquel ss"
"08/30/1953 1 CIN  PHI  NL  8  CIN 12- Granny Hamner     4(B)6(2)3(1)/LTP                    4*-6*-3*              Rocky Bridges 2b,Roy McMillan ss,Ted Kluszewski 1b"
"09/02/1953   NYA  SLA  AL  4  SLA 12- Gene Woodling     4(B)6(2)3(1)/TP                     4*-6*-3*              Bobby Young 2b,Billy Hunter ss,Dick Kryhoski 1b"
"04/24/1954   BOS  WS1  AL  3  WS1 12- Karl Olson        1(B)6(2)3(1)/BP/TP                  1*-6*-3*              Mickey McDermott p,Mel Hoderlein ss,Roy Sievers 1b"
"06/23/1954   BOS  BAL  AL  1  BOS 123 Sam Mele          64(1)/FO/TP.3-H(NR);BX1(43);2XH(32) 6-4*-3*-2*            Milt Bolling ss,Billy Consolo 2b,Harry Agganis 1b,Sammy White c"
"08/21/1954   CLE  BAL  AL  4  CLE 12- Jim Fridley       1(B)4(2)3(1)/LTP                    1*-4*-3*              Bob Lemon p,Bobby Avila 2b,Vic Wertz 1b"
"08/27/1954   PIT  CIN  NL  6  CIN 12- Jack Shepard      5(2)4(1)3/GTP                       5*-4*-3*              Bobby Adams 3b,Johnny Temple 2b,Ted Kluszewski 1b"
"09/22/1954   WS1  NYA  AL  6  NYA 12- Mickey Vernon     3(B)3(1)6(2)/LTP                    3*-3*-6*              Bill Skowron 1b,Jerry Coleman ss"
"05/05/1955   MLN  PIT  NL  7  PIT 123 Eddie Mathews     3/LTP.2X2(36);1X1(63)               3*-6*-3*              Dale Long 1b,Dick Groat ss,Dale Long 1b"
"05/28/1955   BRO  NY1  NL  4  NY1 12- Jackie Robinson   4(B)6(2)3(1)/TP/F                   4*-6*-3*              Davey Williams 2b,Al Dark ss,Whitey Lockman 1b"
"06/12/1955 2 CHN  BRO  NL  7  CHN 123 Roy Campanella    52(3)3(B)/GTP.2XH(32);1-2           5-2*-3*-2*            Randy Jackson 3b,Harry Chiti c,Dee Fondy 1b,Harry Chiti c"
"07/19/1955   MLN  PIT  NL  2  MLN 12- Johnny O'Brien    5(B)4(2)3(1)/LTP                    5*-4*-3*              Eddie Mathews 3b,Hank Aaron 2b,Joe Adcock 1b"
"07/31/1955 2 CLE  BAL  AL  1  CLE 12- Dave Philley      1(B)6(2)3(1)/LTP                    1*-6*-3*              Art Houtteman p,George Strickland ss,Vic Wertz 1b"
"08/03/1955 1 KC1  BAL  AL  8  BAL -23 Art Ceccarelli    3(B)62(2)2(3)/G/TP                  3*-6-2*-2*            Gus Triandos 1b,Willie Miranda ss,Hal Smith c"
"09/25/1955 2 PHI  NY1  NL  9  PHI 12- Bobby Hofman      6(B)4(2)3(1)/LTP                    6*-4*-3*              Ted Kazanski ss,Bobby Morgan 2b,Marv Blaylock 1b"
"05/30/1956 1 CIN  SLN  NL  6  SLN 123 Ray Jablonski     3(B)3(1)6(2)/LTP                    3*-3*-6*              Wally Moon 1b,Don Blasingame ss"
"09/25/1956 1 SLN  CHN  NL  5  SLN 123 Solly Drake       3/LTP.2X2(36);3XH(6415)             3*-6*-4-1-5*          Stan Musial 1b,Dick Schofield ss,Don Blasingame 2b,Lindy McDaniel p,Ken Boyer 3b"
"05/16/1957   KC1  NYA  AL  2  NYA 12- Alex Kellner      1(B)6(2)4(1)/BP/TP                  1*-6*-4*              Bob Turley p,Gil McDougald ss,Bobby Richardson 2b"
"06/11/1957   CIN  PIT  NL  3  CIN 123 Jim Pendleton     4(B)6(2)3(1)/LTP#                   4*-6*-3*              Johnny Temple 2b,Roy McMillan ss,George Crowe 1b"
"08/10/1957   DET  CHA  AL  1  CHA 12- Jay Porter        4(B)4(2)3(1)/LTP                    4*-4*-3*              Nellie Fox 2b,Earl Torgeson 1b"
"09/15/1957 1 CLE  BAL  AL  9  CLE 12- George Zuverink   1(B)6(2)4(1)/BP/TP                  1*-6*-4*              Bud Daley p,Chico Carrasquel ss,Bobby Avila 2b"
"04/27/1958   CHN  SFN  NL  1  CHN 12- Hank Sauer        1(B)4(2)3(1)/TP                     1*-4*-3*              Dick Drott p,Tony Taylor 2b,Dale Long 1b"
"06/02/1958   WS1  BAL  AL  6  WS1 12- Brooks Robinson   6(B)6(2)3(1)/LTP                    6*-6*-3*              Rocky Bridges ss,Julio Becquer 1b"
"06/28/1958   SLN  PHI  NL  7  PHI 12- Ken Boyer         4/LTP.2X3(4);1X2(43)                4*-4*-3*              Solly Hemus 2b,Harry Anderson 1b"
"09/06/1958   WS1  NYA  AL  9  NYA 12- Clint Courtney    4(B)6(2)3(1)/LTP                    4*-6*-3*              Gil McDougald 2b,Tony Kubek ss,Bill Skowron 1b"
"04/09/1959   BAL  WS1  AL  5  BAL 12- Ed Fitz Gerald    3(B)6(2)3(1)/LTP                    3*-6*-3*              Bob Boyd 1b,Chico Carrasquel ss,Bob Boyd 1b"
"09/27/1959   CHA  DET  AL  3  CHA 1-3 Gail Harris       FC1/TP.3XH(15);BX2(5);1XH(526)      1-5*-5*-2-6*          Bob Shaw p,Bubba Phillips 3b,John Romano c,Luis Aparicio ss"
"07/06/1960   PHI  MLN  NL  7  MLN 123 Bobby Gene Smith  4(B)3(1)25(3)/LTP/AP                4*-3*-2-5*            Chuck Cottier 2b,Joe Adcock 1b,Del Crandall c,Eddie Mathews 3b"
"07/23/1960   KC1  WS1  AL  3  WS1 12- Whitey Herzog     1(B)3(1)6(2)/LTP                    1*-3*-6*              Pedro Ramos p,Julio Becquer 1b,Jose Valdivielso ss"
"05/30/1962 2 LAN  NYN  NL  6  NYN 12- Willie Davis      6(B)4(2)3(1)/L/TP                   6*-4*-3*              Elio Chacon ss,Charlie Neal 2b,Gil Hodges 1b"
"09/30/1962   NYN  CHN  NL  8  CHN 12- Joe Pignatano     4(B)3(1)6(2)/TP/F4D                 4*-3*-6*              Ken Hubbs 2b,Ernie Banks 1b,Andre Rodgers ss"
"07/21/1963 2 CHN  PIT  NL  3  CHN 12- Roberto Clemente  3(B)3(1)6(2)/LTP                    3*-3*-6*              Merritt Ranew 1b,Andre Rodgers ss"
"09/15/1963   BAL  DET  AL  5  DET 12- Milt Pappas       3(B)6(2)4(1)/TP/BP                  3*-6*-4*              Norm Cash 1b,Dick McAuliffe ss,Don Wert 2b"
"09/28/1963   LAA  BOS  AL  7  BOS 12- Felix Torres      15(2)6(1)4(B)/BG/TP                 1-5*-6*-4*            Pete Smith p,Frank Malzone 3b,Eddie Bressoud ss,Felix Mantilla 2b"
"05/17/1964   PHI  HOU  NL  5  PHI 12- Jerry Grote       36(1)3(B)2(2)/TP                    3-6*-3*-2*            John Herrnstein 1b,Bobby Wine ss,John Herrnstein 1b,Gus Triandos c"
"05/31/1964 2 SFN  NYN  NL  14 NYN 12- Orlando Cepeda    6(B)6(2)3(1)/LTP                    6*-6*-3*              Roy McMillan ss,Ed Kranepool 1b"
"06/04/1964   CIN  MLN  NL  2  MLN 12- Leo Cardenas      4(B)46(2)63(1)/LTP                  4*-6*-3*              Mike DeLaHoz 2b,Denis Menke ss,Gene Oliver 1b"
"08/15/1964   PHI  NYN  NL  2  PHI 12- Bobby Klaus       1(B)6(2)3(1)/LTP                    1*-6*-3*              John Boozer p,Ruben Amaro ss,Frank(FJ) Thomas 1b"
"09/10/1964   BAL  WS2  AL  5  WS2 123 Brooks Robinson   64(1)3(B)/TP.3-H(NR);2XH(32)        6-4*-3*-2*            John Kennedy ss,Don Blasingame 2b,Joe Cunningham 1b,Mike Brumley c"
"10/02/1964   PHI  CIN  NL  4  PHI 12- Deron Johnson     7/F/TP.2X2(764);1X1(43)             7*-6-4*-3*            Alex Johnson lf,Bobby Wine ss,Tony Taylor 2b,Vic Power 1b"
"04/15/1965   HOU  NYN  NL  2  NYN 1-3 Jimmy Wynn        9(B)2(3)6(1)/TP                     9*-2*-6*              Johnny Lewis rf,Chris Cannizzaro c,Roy McMillan ss"
"05/03/1965   SFN  SLN  NL  6  SFN 12- Tim McCarver      16(1)3(B)2(2)/TP                    1-6*-3*-2*            Ron Herbel p,Jose Pagan ss,Willie McCovey 1b,Tom Haller c"
"07/14/1965 2 MLN  CHN  NL  2  CHN 1-3 Woody Woodward    2(B)61(3)4(1)/P/FL/TP               2*-6-1*-4*            Ed Bailey c,Don Kessinger ss,Bill Faul p,Glenn Beckert 2b"
"07/25/1965 2 PIT  CHN  NL  4  CHN 12- Roberto Clemente  4(B)6(2)3(1)/LTP                    4*-6*-3*              Glenn Beckert 2b,Don Kessinger ss,Ernie Banks 1b"
"08/01/1965 1 DET  CHA  AL  4  DET 12- Ron Hansen        K+OA/TP.2X3(25);1X3(536)            2*-5*-3-6*            John Sullivan c,Don Wert 3b,Norm Cash 1b,Dick McAuliffe ss"
"08/18/1965   BOS  BAL  AL  1  BOS 12- Brooks Robinson   54(1)3(B)5(2)/TP                    5-4*-3*-5*            Frank Malzone 3b,Felix Mantilla 2b,Tony Horton 1b,Frank Malzone 3b"
"09/04/1965 2 BOS  NYA  AL  2  NYA 12- Bob Tillman       54(1)3/FO/TP.2X3(35)                5-4*-3*-5*            Clete Boyer 3b,Bobby Richardson 2b,Joe Pepitone 1b,Clete Boyer 3b"
"10/03/1965   CHN  PIT  NL  5  CHN 12- Del Crandall      3(B)/LTP.1X1(3);2X2(36)             3*-3*-6*              Ernie Banks 1b,Don Kessinger ss"
"04/18/1966   CIN  PIT  NL  7  PIT 12- Vada Pinson       K+CS3(25);CS2(543)/TP               2*-5-4*-3*            Jesse Gonder c,Bob Bailey 3b,Bill Mazerowski 2b,Donn Clendenon 1b"
"04/23/1966   CLE  BOS  AL  9  BOS 1-3 Max Alvis         46(1)3(B)2(3)/TP                    4-6*-3*-2*            George Smith 2b,Rico Petrocelli ss,George Scott 1b,Bob Tillman c"
"08/18/1966   CAL  MIN  AL  2  MIN 12- Frank Malzone     5(2)4(1)3/GTP                       5*-4*-3*              Rich Rollins 3b,Cesar Tovar 2b,Harmon Killebrew 1b"
"09/04/1966 2 BOS  KC1  AL  1  KC1 123 Tony Conigliaro   64(1)3(B)2(3)/TP/AP                 6-4*-3*-2*            Bert Campaneris ss,Dick Green 2b,Tim Talton 1b,Phil Roof c"
"09/17/1966   CHA  BAL  AL  9  CHA -23 Andy Etchebarren  3(B)6(2)21(3)/GTP                   3*-6*-2-1*            Tom McCraw 1b,Jerry Adair ss,John Romano c,Tommy John p"
"09/28/1966 1 CHN  NYN  NL  6  NYN 12- Joey Amalfitano   5(B)54(2)43(1)/LTP                  5*-4*-3*              Eddie Bressoud 3b,Chuck Hiller 2b,Jim Hickman 1b"
"05/02/1967   SFN  NYN  NL  2  SFN 12- Ken Boyer         1(B)6(2)3(1)/TP                     1*-6*-3*              Gaylord Perry p,Hal Lanier ss,Willie McCovey 1b"
"05/30/1967   SLN  CIN  NL  9  CIN 1-3 Phil Gagliano     64(1)3(B)2(3)/TP                    6-4*-3*-2*            Leo Cardenas ss,Tommy Helms 2b,Deron Johnson 1b,Johnny Edwards c"
"06/25/1967   DET  NYA  AL  5  NYA 12- Jerry Lumpe       4(B)6(2)3(1)/LTP                    4*-6*-3*              Horace Clarke 2b,Ruben Amaro ss,Mickey Mantle 1b"
"07/15/1967   BAL  BOS  AL  1  BOS 12- Paul Blair        5(B)4(2)3(1)/LTP                    5*-4*-3*              Joe Foy 3b,Mike Andrews 2b,George Scott 1b"
"08/06/1967 2 CHA  BAL  AL  5  CHA 12- Brooks Robinson   5(2)4(1)3/GTP                       5*-4*-3*              Ken Boyer 3b,Don Buford 2b,Tom McCraw 1b"
"08/15/1967 2 NYN  PHI  NL  2  PHI 12- Phil Linz         5(2)4(1)3/GTP                       5*-4*-3*              Dick Allen 3b,Cookie Rojas 2b,Bill White 1b"
"05/04/1968   PIT  PHI  NL  8  PHI 12- Manny Mota        6(B)4(2)3(1)/LTP                    6*-4*-3*              Bobby Wine ss,Cookie Rojas 2b,Bill White 1b"
"06/03/1968   MIN  NYA  AL  8  NYA 123 Johnny Roseboro   1(B)5(3)3(1)/TP                     1*-5*-3*              Dooley Womack p,Bobby Cox 3b,Mickey Mantle 1b"
"06/23/1968   WS2  OAK  AL  3  WS2 12- Dave Duncan       5(2)4(1)3/GTP                       5*-4*-3*              Ken McMullen 3b,Bernie Allen 2b,Mike Epstein 1b"
07/30/1968   WS2  CLE  AL  1  WS2 12- Joe Azcue         6(B)6(2)6(1)/TP                     6*-6*-6*         [1]  Ron Hansen ss
"07/31/1968 2 PIT  CIN  NL  4  PIT 12- Tommy Helms       6(B)4(2)3(1)/LTP                    6*-4*-3*              Gene Alley ss,Bill Mazerowski 2b,Donn Clendenon 1b"
"09/01/1968   BAL  DET  AL  3  DET 12- Boog Powell       1(B)6(2)3(1)/LTP                    1*-6*-3*              Denny McLain p,Tommy Matchick ss,Norm Cash 1b"
"09/10/1968   CLE  MIN  AL  5  MIN 12- Tony Horton       5(2)4(1)3/GTP                       5*-4*-3*              Rich Rollins 3b,Rod Carew 2b,Bob Allison 1b"
"05/30/1969 1 HOU  PIT  NL  4  PIT 12- Johnny Edwards    3(B)63(1)5(2)/TP                    3*-6-3*-5*            Al Oliver 1b,Gene Alley ss,Al Oliver 1b,Richie Hebner 3b"
"06/25/1969 2 SLN  MON  NL  2  MON 12- Vada Pinson       3(B)3(1)6(2)/LTP                    3*-3*-6*              Bob Bailey 1b,Bobby Wine ss"
"07/15/1969   DET  WS2  AL  5  DET 12- Ed Brinkman       5(2)4(1)3/GTP                       5*-4*-3*              Don Wert 3b,Ike Brown 2b,Bill Freehan 1b"
"08/06/1969   KCA  BAL  AL  4  BAL 12- Ellie Rodriguez   5(2)4(1)3/GTP                       5*-4*-3*              Brooks Robinson 3b,Dave Johnson 2b,Boog Powell 1b"
"08/13/1969   CHN  SDN  NL  1  SDN 12- Billy Williams    1(B)6(2)6(1)/LTP                    1*-6*-6*              Joe Niekro p,Tommy Dean ss"
"08/29/1969   CHN  ATL  NL  1  ATL -23 Billy Williams    3(B)362514(3)47(2)/TP/G             3*-6-2-5-1-4*-7*      Orlando Cepeda 1b,Gil Garrido ss,Bob Didier c,Clete Boyer 3b,Pat Jarvis p,Felix Millan 2b,Rico Carty lf"
"06/06/1970   LAN  PIT  NL  3  PIT 12- Wes Parker        6(1)3(B)/TP.2XH(356)                6*-3*-5-6*            Gene Alley ss,Al Oliver 1b,Richie Hebner 3b,Gene Alley ss"
"06/26/1970   CAL  KCA  AL  5  CAL 12- Amos Otis         5(2)4(1)3/GTP                       5*-4*-3*              Chico Ruiz 3b,Sandy Alomar(Sr) 2b,Billy Cowan 1b"
"08/09/1970 1 CLE  WS2  AL  3  CLE 12- Aurelio Rodriguez 5(2)4(1)3/GTP                       5*-4*-3*              Graig Nettles 3b,Eddie Leon 2b,Duke Sims 1b"
"04/28/1971   MIL  BOS  AL  3  ML4 1-3 Billy Conigliaro  64(1)3(B)2(3)/TP                    6-4*-3*-2*            Rick Auerbach ss,Ted Kubiak 2b,Mike Hegan 1b,Ellie Rodriguez c"
"07/09/1971   ATL  PIT  NL  7  PIT 12- Leo Foster        5(2)4(1)3/GTP                       5*-4*-3*              Richie Hebner 3b,Dave Cash 2b,Bob Robertson 1b"
"07/16/1971   NYN  HOU  NL  3  HOU 12- Cleon Jones       6(1)3/FO/TP.2X3(35)                 6*-3*-5*              Roger Metzger ss,Denis Menke 1b,Doug Rader 3b"
"08/01/1971   ATL  SDN  NL  7  SDN 12- Oscar Brown       4/LTP.1X1(43);2X2(36)#              4*-3*-6*              Don Mason 2b,Nate Colbert 1b,Enzo Hernandez ss"
"09/17/1971   CIN  HOU  NL  2  HOU 123 Darrel Chaney     4(B)6(2)3(1)/LTP                    4*-6*-3*              Joe Morgan 2b,Roger Metzger ss,John Mayberry 1b"
"05/25/1972   BAL  BOS  AL  4  BOS 12- Ellie Hendricks   3(B)3(1)6(2)/LTP                    3*-3*-6*              Duane Josephson 1b,Luis Aparicio ss"
"06/03/1972   HOU  MON  NL  2  MON 12- Tommy Helms       25(2)3(B)6(1)/TP                    2-5*-3*-6*            Terry Humphrey c,Bob Bailey 3b,Mike Jorgensen 1b,Tim Foli ss"
"06/04/1972   CHN  SDN  NL  9  SDN 12- Randy Hundley     6(2)4(1)3/GTP                       6*-4*-3*              Rafael Robles ss,Derrel Thomas 2b,Nate Colbert 1b"
"06/27/1972   CAL  MIN  AL  4  CAL -23 Jim Nettles       7(B)54(3)6(2)/TP                    7*-5-4*-6*            Jim Spencer lf,Ken McMullen 3b,Sandy Alomar(Sr) 2b,Leo Cardenas ss"
"07/02/1972   CHN  PIT  NL  7  CHN 12- Manny Sanguillen  5(2)4(1)3(B)/TP                     5*-4*-3*              Ron Santo 3b,Glenn Beckert 2b,Jim Hickman 1b"
"08/13/1972   KCA  TEX  AL  3  KCA 12- Toby Harrah       25(2)4(B)/BG/TP.1X3(45)             2-5*-4*-5*            Ed Kirkpatrick c,Paul Schaal 3b,Cookie Rojas 2b,Paul Schaal 3b"
"06/13/1973   SDN  MON  NL  7  MON 123 Jerry Morales     46(1)3(B)2(2)/TP.3-H(NR)            4-6*-3*-2*            Ron Hunt 2b,Tim Foli ss,Mike Jorgensen 1b,John Boccabella c"
"07/07/1973   OAK  BAL  AL  4  BAL 12- Gene Tenace       5(2)4(1)3/GTP                       5*-4*-3*              Brooks Robinson 3b,Bobby Grich 2b,Enos Cabell 1b"
"09/03/1973 2 CLE  MIL  AL  1  CLE 12- Don Money         4(B)4(2)3(1)/LTP                    4*-4*-3*              Jack Brohamer 2b,Chris Chambliss 1b"
"09/20/1973   BAL  DET  AL  5  BAL 12- Frank Howard      5(2)4(1)3/GTP                       5*-4*-3*              Brooks Robinson 3b,Bobby Grich 2b,Terry Crowley 1b"
"09/07/1975   PIT  MON  NL  4  MON 12- Art Howe          6(B)4(2)3(1)/TP                 6*-4*-3*          Tim Foli ss,Pete Mackanin 2b,Jose Morales 1b"
"06/07/1976   MIN  CLE  AL  5  CLE 12- Butch Wynegar     1(B)6(2)3(1)/LTP                1*-6*-3*          Stan Thomas p,Frank Duffy ss,Doug Howard 1b"
"06/21/1976   SFN  SDN  NL  3  SFN 12- Willie McCovey    3(B)6(2)3(1)/LTP                3*-6*-3*          Darrell Evans 1b,Chris Speier ss,Darrell Evans 1b"
"07/25/1976 1 MIN  CHA  AL  1  MIN 12- Bill Stein        2(B)6(2)6(1)/BP/FL/TP           2*-6*-6*          Glenn Borgmann c,Luis Gomez ss"
"04/22/1977   KCA  SEA  AL  4  SEA 1-3 Darrell Porter    6(1)3/FO/TP.3XH(32)             6*-3*-2*          Craig Reynolds ss,Dan Meyer 1b,Skip Jutze c"
"05/08/1977   HOU  SLN  NL  3  SLN 12- Willie Crawford   4(B)6(2)3(1)/LTP                4*-6*-3*          Mike Tyson 2b,Don Kessinger ss,Keith Hernandez 1b"
"06/03/1977   BAL  KCA  AL  9  BAL 123 John Wathan       9(B)646(1)6(2)/SF/TP.3-H        9*-6*-4-6*   [2]  Pat Kelly rf,Mark Belanger ss,Billy Smith 2b,Mark Belanger ss"
"07/14/1977   SEA  CAL  AL  5  CAL 12- Leroy Stanton     5(2)4(1)3(B)/GTP                5*-4*-3*          Ron Jackson 3b,Jerry Remy 2b,Tony Solaita 1b"
"07/23/1977   CAL  MIN  AL  6  CAL 12- Lyman Bostock     6(B)4(2)3(1)/LTP                6*-4*-3*          Rance Mulliniks ss,Jerry Remy 2b,Tony Solaita 1b"
"08/08/1977 2 OAK  TEX  AL  5  TEX 12- Manny Sanguillen  5(2)4(1)3(B)/GTP                5*-4*-3*          Toby Harrah 3b,Bump Wills 2b,Mike Hargrove 1b"
"04/06/1978   HOU  CIN  NL  7  HOU 1-3 Dan Driessen      K+CS2(26)/TP.3XH(656)           2*-6*-5-6*        Joe Ferguson c,Roger Metzger ss,Enos Cabell 3b,Roger Metzger ss"
"04/11/1978   SDN  ATL  NL  2  SDN 123 Phil Niekro       5(2)4(1)3/GTP                   5*-4*-3*          Bill Almon 3b,Derrel Thomas 2b,Gene Richards 1b"
"04/21/1978   HOU  LAN  NL  9  HOU 12- Ron Cey           3(B)3(1)6(2)/TP                 3*-3*-6*     [2]  Bob Watson 1b,Roger Metzger ss"
"04/22/1978   CHA  TOR  AL  2  TOR 12- Junior Moore      1(B)3(1)6(2)/BP/TP              1*-3*-6*          Jim Clancy p,John Mayberry 1b,Luis Gomez ss"
"07/15/1978   PHI  ATL  NL  7  ATL 12- Jose Cardenal     5(2)4(1)3/GTP                   5*-4*-3*          Bob Horner 3b,Glenn Hubbard 2b,Dale Murphy 1b"
"09/09/1978   BAL  TOR  AL  6  BAL 12- Rick Cerone       5(2)4(1)3/GTP#                  5*-4*-3*          Doug DeCinces 3b,Rich Dauer 2b,Eddie Murray 1b"
"05/07/1979   OAK  BAL  AL  3  OAK 12- Gary Roenicke     5(2)4(1)3/GTP                   5*-4*-3*          Wayne Gross 3b,Mickey Klutts 2b,Dave Revering 1b"
"05/10/1979   CAL  BOS  AL  7  BOS 12- Joe Rudi          4(B)6(2)3(1)/P/TP               4*-6*-3*          Jerry Remy 2b,Rick Burleson ss,George Scott 1b"
"05/16/1979   MIL  CAL  AL  2  ML4 12- Bobby Grich       5(2)4(1)3/GTP                   5*-4*-3*          Sal Bando 3b,Paul Molitor 2b,Cecil Cooper 1b"
